Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3,CO*TopL0,CO*TopL1,CO*BridgeL00,CO*BridgeL01,CO*BridgeL11,CO*HollowL000,CO*HollowL001,CO*HollowL011,CO*HollowL111,CO*Total
1.5356681600329173e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5404991313839643e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.545739637561718e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.5509668153842024e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5581891936120528e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5632545048961184e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5683020485564568e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5735713026371136e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.579475278942805e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.583972182227959e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5894310983339138e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5941714160253553e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.60096880887666e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6074538079834353e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6133659132902806e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6187903077879058e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6232909707088017e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6291738768629693e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6335965940973833e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.640026980785541e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6440849195881594e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.649445953324413e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6548634016674263e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.660584397313327e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6665280053623694e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.671483904896503e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6775613831937673e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.683790365855154e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6909441416642845e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.696506746584863e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.7027093694664103e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.7027093694664103e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.230083787261253e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00010509817857041966,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00015047309849087608,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00019762787697960116,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00024309249937238763,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0002914935890749865,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00034194366686256787,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00038229554281270564,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0004423298521915429,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.000490906831348122,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0005406252948949991,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0005960875294356669,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0006452195620179537,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0007123998752541028,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0007634737921465768,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0008056548090481785,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0008677396761968316,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0009193911309648295,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0009689622202045566,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.001016655261053021,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0010674479605536332,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0011223982759461777,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0011767582906889262,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0012282350860561438,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0013060411775923095,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0013494572919245194,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.0013934976421823195,6,2,0,0,0,0,0,0,0,0,0,0,0,0
